NAME,CODE,CODE2,CODE2CATEG,CODE3,GENERICNAME,DESCRIPTION,CATEGORY,IS_INVENTORY,IS_SERVICE,ACTIVE,MEASUREMENT_UNIT,SALES_PRICE,SALE_INCLUDE_TAX,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,ITEM_TAX,AVAILABLE_AS_TREATMENT,AVAILABLE_AS_DRUG,AVAILABLE_AS_LAB_TEST,AVAILABLE_AS_IMAGING_TEST,AVAILABLE_AS_SURGERY_RELATED,AVAILABLE_AS_INPATIENT_ACCOMM,AVAILABLE_AS_DIAGNOSIS,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE1,AVAILABLE_AS_CUSTOM_ITEM_TYPE2,USE_IN_MEDIC_ACCOUNTS,DURG_DEFAULT_DOSAGE,DRUG_DEFAULT_ADMINISTRATION,DRUG_DEFAULT_FREQUENCY,DRUG_DEFAULT_REFILLS,WARNINGS
CEPACOL COUGH DISC,713260,Z76.9     ,,,Cetylpyridinium,CEPACOL COUGH DISC,,Yes,,Yes,item,0,0,,,,,Yes,,,,,,,,,,,DSC,16,,
CHLORPROMAZINE,967361,Z76.9     ,,,Chlorpromazine,CHLORPROMAZINE,,Yes,,Yes,,129.6,145.15,,,,,Yes,,,,,,,,,,,TAB,100,,
PREMARIN,756733,Z76.9     ,,,Conjugated estrogens,PREMARIN,,Yes,,Yes,,281.5,315.28,,,,,Yes,,,,,,,,,,,TAB,28,,
PREMARIN,832448,Z76.9     ,,,Conjugated estrogens,PREMARIN,,Yes,,Yes,,281.5,315.28,,,,,Yes,,,,,,,,,,,GEL,42,,
PREMARIN,756741,Z76.9     ,,,Conjugated estrogens,PREMARIN,,Yes,,Yes,,296.79,332.4,,,,,Yes,,,,,,,,,,,TAB,28,,
EFFORTIL,722359,Z76.9     ,,,Etilefrine,EFFORTIL,,Yes,,Yes,,184.58,206.73,,,,,Yes,,,,,,,,,,,TAB,5,,
FOLIC ACID,871281,Z76.9     ,,,Folic acid,FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
FOLIC ACID,267395,Z76.9     ,,,Folic acid,FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
BE-TABS FOLIC ACID,810967,Z76.9     ,,,Folic acid,BE-TABS FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
FOLIC ACID,711922,Z76.9     ,,,Folic acid,FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
APO FOLIC 5MG,267239,Z76.9     ,,,Folic acid,APO FOLIC 5MG,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
FOLIC ACID,713175,Z76.9     ,,,Folic acid,FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
FOLIC ACID,702348,Z76.9     ,,,Folic acid,FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
FOLIC ACID,967395,Z76.9     ,,,Folic acid,FOLIC ACID,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
FOLIC ACID FORTE,716430,Z76.9     ,,,Folic acid,FOLIC ACID FORTE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
APO FOLIC 5MG,967239,Z76.9     ,,,Folic acid,APO FOLIC 5MG,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,30,,
MINESSE,879576,Z76.9     ,,,Gestodene and estrogen,MINESSE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,28,,
MINULETTE,826014,Z76.9     ,,,Gestodene and estrogen,MINULETTE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,28,,
FEMODENE ED,825905,Z76.9     ,,,Gestodene and estrogen,FEMODENE ED,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,28,,
COVOCORT,716693,Z76.9     ,,,Hydrocortisone,COVOCORT,,Yes,,Yes,,179.42,200.95,,,,,Yes,,,,,,,,,,,CRM,30,,
DERVACORT CREAM (15G),967205,Z76.9     ,,,Hydrocortisone combinations,DERVACORT CREAM (15G),,Yes,,Yes,,51.12,57.25,,,,,Yes,,,,,,,,,,,CRM,15,,
ARTHREXIN,704741,Z76.9     ,,,Indometacin,ARTHREXIN,,Yes,,Yes,,74.08,82.97,,,,,Yes,,,,,,,,,,,SUP,10,,
NORSTAN ISONIAZID,732966,Z76.9     ,,,Isoniazid,NORSTAN ISONIAZID,,Yes,,Yes,,13.3,14.9,,,,,Yes,,,,,,,,,,,TAB,100,,
CORALAN,710620,Z76.9     ,,,Ivabradine,CORALAN,,Yes,,Yes,,380.8,426.5,,,,,Yes,,,,,,,,,,,TAB,56,,
PROVIRON,757950,Z76.9     ,,,Mesterolone,PROVIRON,,Yes,,Yes,,219.94,246.33,,,,,Yes,,,,,,,,,,,TAB,20,,
KLEAN-PREP,796808,Z76.9     ,,,Mineral salts in combination,KLEAN-PREP,,Yes,,Yes,,147.99,165.75,,,,,Yes,,,,,,,,,,,PWD,4,,
ENT 25ML,723371,Z76.9     ,,,Naphazoline,ENT 25ML,,Yes,,Yes,,40.35,45.19,,,,,Yes,,,,,,,,,,,OPD,1,,
CELESTAMINE,713066,Z76.9     ,,,Betamethasone combination,CELESTAMINE,,Yes,,Yes,,203.18,227.56,,,,,Yes,,,,,,,,,,,TAB,30,,
CELESTAMINE,713058,Z76.9     ,,,Betamethasone combination,CELESTAMINE,,Yes,,Yes,,220.89,247.4,,,,,Yes,,,,,,,,,,,SYR,120,,
HYDRACHOICE (NAARTJIE FLAVOUR),712886,Z76.9     ,,,Electrolytes and yeast ,HYDRACHOICE (NAARTJIE FLAVOUR),,Yes,,Yes,,95.58,107.05,,,,,Yes,,,,,,,,,,,SAT,5,,
ARTHROGUARD INTENSIVE,707831,Z76.9     ,,,Herbal supplements,ARTHROGUARD INTENSIVE,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,TAB,90,,
U-TEST MIDSTREAM PREGNANCY HCG TEST 4004,843695,Z76.9     ,,,Dressings,U-TEST MIDSTREAM PREGNANCY HCG TEST 4004,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,,1,,
WATER FOR INJ 10ML SW133B,778419,Z76.9     ,,,Water for injection,WATER FOR INJ 10ML SW133B,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,INJ,1,,
PRIMEVE PLUS,834378,Z76.9     ,,,Evening Primrose Oil,PRIMEVE PLUS,,Yes,,Yes,,0,0,,,,,Yes,,,,,,,,,,,CAP,30,,
BEPANTHEN,701639,Z76.9     ,,,Bepanthin,BEPANTHEN,,Yes,,Yes,,223.29,250.08,,,,,Yes,,,,,,,,,,,CRM,100,,
