DESCRIPTION,QUANTITY_UNIT,MEDICINE_FEE,NAPPI_CODE
Alcophyllex syrup,200ml,26.07,701742011
4Cs Cough syrup,100ml,13,999999999
Accupril tabs 10mg,28,103.83,783307004
Accupril tabs 20mg,28,156.99,783315007
Accupril tabs 40mg,28,156.99,853186006
Accupril tabs 5mg,28,74.13,783293003
Accuretic  20/12.5mg,28,156.99,805297006
Accuretic 10/12.5mg,28,103.83,795755007
Acitop cream,2g,22.43,873551001
Acyclovir cream,5g,41.3,999999999
Acyclovir cream  Adco,2g,27.95,824674006
Acyclovir cream Adco,10g,156.85,824674014
Acyclovir Lovire tabs 400mg (2*5 for 7 days)    70,,439.43,838233007
Acyclovir tabs Lovire 800mg,35,433.69,838241018
Adalat retard 20mg,30,181.63,783889003
Adalat XL 30,28,168.84,793124026
Adalat XL 60,28,220.57,793132010
Adco Acyclovir tabs 200mg,25,89.78,827282001
Adco Amoxycillin caps 500mg,30,65.25,811440001
Adco Amoxycillin suspension 125mg/5ml    100ml,,16.32,829099018
Adco Cefaclor,50ml,73.19,833398008
Adco Cefaclor  375mg tabs,10,103.16,814121004
Adco Cefaclor caps 250mg,15,91.54,831107006
Adco Cefaclor syrup BD 375mg/5ml,50ml,117.2,833401009
Adco Cimetidine 200mg,60,62.54,811459004
Adco Cimetidine 400mg,60,174.71,800252004
Adco Erythromycin 125mg/5ml syrup,100ml,17.22,786608005
Adco Erythromycin caps 250mg,30,43.4,780561015
Adco Naproxen 250mg,30,29.58,785245014
Adco Piroxicam caps,30,94.85,785261001
Adco Piroxicam caps 10mg,60,113.14,785253009
Adrenatone inj 1mg/ml,1ml,4.86,832723002
AF ointment,25g,23,999999999
Agarol suspension vanilla,200ml,27.31,701351004
Alcophyllex syrup,100ml,15.68,701742003
Alcophyllin syrup,100ml,14.71,701750006
Alcophyllin syrup,200ml,23.53,701750014
Aldactone 100mg tabs,30,187.24,701807016
Aldactone 25mg tabs,60,141.97,701793007
Aldara genital warts cream sachets,3,130.29,851884008
Aldomet 250mg tabs,30,64.62,701823011
Allergex 4mg,15,3.43,702072117
Allopurinol 300mg Rolab,30,46.36,738786004
Alusil antiacid tabs,30,2.11,702544019
Ambral (metronidazol) syrup 200ml/5ml,100ml,42.96,999999999
Amethocaine cream,25g,24.2,799211028
Amiloretic 50mg,30,15.98,702803006
Amitryptilline Rolab25mg,30,37.35,784230005
Amitryptilline Trepilline 25mg,30,36.3,772003009
Amoxycillin 150mg tabs,28,154.07,837814006
Amoxycillin 300mg tabs,28,154.07,837822009
Amoxycillin caps 500mg,15,32.46,785229035
Amoxycillin Caps Rolab 250mg,15,18.36,785229035
Amoxycillin SF susp 250mg/5ml syrup,100ml,26.46,829102019
Amoxycillin syrup 125mg/5ml,100ml,16.24,829099018
Ampiclox 500mg caps,20,99.37,703176005
Ampiclox susp 250mg/5ml,100ml,48.63,829161007
Andolex C lozenges,16,26.67,827622007
Antalgic syrup 120mg/5ml,100ml,10.68,798983019
Anugesic ointment,25g,25.59,704083109
A-Por fungal cream 10mg/g,20g,35,826952003
Aprovel 75mg,28,154.07,837806003
Artane 2mg tabs,21,13.47,704679019
Artane 5mg,21,27.58,704687003
Aspirin 300mg,30,7.55,706930029
Aspirin 81mg (Ecotrin) tabs,30,12.95,823481018
Asthavent syrup 2mg/5ml,100ml,7.77,824186001
Atenolol tabs 100mg,30,67.33,787914002
Atenolol tabs 50mg Rolab,30,50.63,787892009
Atenolol/chlorthalidone 100/25mg,30,83.07,789615002
Atenolol/chlorthalidone 50/12.5mg Rolab,30,57.37,702951005
